date,merchant,amount
Sep 22nd 24,PS Mcdonalds (ONLINE) ,USD2114.58
28 Aug 2024,POS  Spotify  Pmnt  (ONLINE),USD966.87
9 Nov 20,CHIPOTLE *PMT,283.07
05/14/2022,instacart *MT, $ 757.84
31-3-21,POS MCdoJALds LTD,"2,207.64USD"
28 Apr 2024,ACH  lowe's  *PMT  (EATS)  , 2284.15 USD
22-12-21,PAYPAL*apple  services.COM,USD 2066.77
Sep 20th 22, PAYPAL*car wash pro *PMT,"1,678.57 "
11-04-23,wALm[TRIP]arT *PMT," USD1,373.29"
16-4-22,PAYPAL*aPPle sErVICXS.COM,USD 1023.44 
Mar 27th 20,UBER-WALMART  SUPERCENTER  (ONLINE),USD943.44
2023-9-1,.* olive garden , 1144
Oct 30 2020,POS  uber  (ONLINE),1953.78USD
1-1-24,PAYPAL*LyftVRide *PMT ,110.28 USD
24-09-23,ACH uber technologies.COM ,1922.57
05-07-20, .* netflix,"USD1,757.08"
11/14/2024,.* SQ*google *services *PMT,$693.00
02/22/2021,ACH  Ta?rget  Store  *PMT,761.89
Jul 01 2021,MCD [ATO],USD 843.39
Dec 7th 22,UBER-SELL  OIL  (ONLINE),"2,432.74"
15-10-20,SQHBest Buy INC,USD299.68
Jun 30 2021,Apple.Com/Bill [AUTO],134
Mar 14 2023,UBER-Doordash*Order *PMT [TRIP],"$ -2,006.78 "
2023-4-7,SQ*AirBNB.COM,$818
26-12-22,POSBLYFT  (ONLINE)  , USD2121.37
1/7/2021,(EATS) UBER-car wash pro.COM,2292 USD
May 6th 23,#Car Wash Po *PMT," $ 1,880.41"
Mar 17 2021,BEST BUY *PMT,543.14USD
2021-1-24, UBER-INSTACARTm[AUTO], $1120
Feb 23 2024,POS GYm mEmBership,714.94 USD 
16-11-21,POS starbucks OTD,USD1390
Jul 2 2020,POS Airbnb,USD416.09
Jan 28 2022,.*  Home  Depot  *PT, 794.48 USD
Feb 04 2022,DoordaSh,$ 508
Feb 10 2023, PAYPAL*amazon [ATO] ,USD 143.13
2 May 23,Apple Services.COM," $ 1,210.41"
2022-03-18,ACH netflix.c+om,1060.14 USD
20-05-22,Apple.Com/Bill (ONLINE),22.21
09-11-21,UBER-DoordAsh*ORDeR  *PMT,1067
01/23/2022, TARGET STORE (ONLuNE),765.12
14 Oct 20,POS  mCdoNALdS  (ONLINE),601.04
9/16/2021,UBER-netflix.com.CO,1523.53
04-06-23,SPOTIFYPMNT.COM, 1619.58USD
2022-2-27,UBER-DOORDASH INC,$1376.25
2021-4-12,PAYPAL*instacart [AUTO],$ 1696.75
11 Jan 2020,UBER-LYFT INC,"$1,894.11"
2022-5-19,POS BEST BUY.COM,$ 655.55
01/16/2020,CITY UTILITIEO, 187 USD
20-2-23,UBER-InSTaCArT INC,USD1119.64 
Dec 2nd 20,SQ*Doordash*Order (ONLINE), -511 USD
9/8/2020,POS STArbutKs,"2,040.95 USD"
Sep 1st 24,ACH GoOGLE *PMT,471.51USD
Oct 09 2021,.*UBR  STARBUCKS  COFFEE  (ONLINE),83.12USD 
2 Sep 21,  UBER-mcdonald's,USD442.67
Jul 25 2022,POS InSTACArt [AUTO],USD-689.21 
Oct 5 2022,NetfLiX.COM.COM,USD834.11
7/17/2022,UBER-gYM  meMBERShiP  LTD,USD 594.18
04-04-24,.* POS Hcdonald'S.COM,644.49USD
21 Jul 22,POS  INStACarT  *PMT,517.01
7/25/2021,UBER-CAR  WASHPRO  LTD,USD 653.35
25 Oct 2022,#gOOGLE *SeRv[]iCBS,230.93 
11 Feb 2021,TARGET  L[TRIP]uD,"1,108.22 USD"
Nov 14th 24,BEST  BUY  LTD,"$ 1,757.42"
1/12/2022,? instaart.COM,$ 1842
12-06-20,.*UBR SQ*TARGET ,826 USD
2024-7-11,[TRIP] UBER-Gym Membership,992.34
01/25/2020,POS UBER *PMT ,1774.66 USD
25-09-24,PANDA eXPREsS INC ,5.48 USD 
23-08-24,PAYPAL*NeTfLIXVLTD,"USD 1,149.50"
Feb 2 2023,SQ*apple  sERviCES,"2,157.15USD"
14 Jul 21,#walmart  ?,$784
02-12-22,Costco Wholesale INC,428 USD
Aug 24th 20,taRGETINC,1180.07 USD
22-7-22,SQ*target INC,$ 288.87
2021-12-23,UBER-Wal-Mart *PMT,2256 
Jan 19th 23,ACH  sHElL,"USD 2,467.52"
Nov 25th 22,ACH Google INC,"1,321.44 USD"
Feb 21 2020,  #cOstcO  LTD, USD 631.81
Mar 13th 23,ACH amLzon marketplace,2434.72 USD
07/09/2023,PAYPL*target [] , 746.08 USD
07/28/2022,PAYPAL*AMazOn,781.48USD
5/2/2022,SQ*APPLE.COM/BILL,1213.69
06/04/2020,UB?ER-sUsHI hOUSE,USD 863.88
21 Jan 24,? ACH Shell (ONLINE) ,USD1282.96 
Dec 29th 22,.* panda express,$2198.06
7/12/2021,PAYPAL*APPLE.COM/BILL  *PMT, $ 82.40
2020-1-2,(EATS) #TARGETySTORE,2106.80
6 Mar 21,#walmart (ONLINE),$ 954.40
28 Mar 2024,STARBUCKS ,1266
Jul 27th 21,SQ*STRBUCKS  ()  ,$ 1132
Jun 9th 20,ACH  Uber  Eats  LTD,2413.24 
14-5-23, netFliX LTD ,-1570.28USD 
11-06-21,POS  APPLE  [AUTO]  +  ,1311.73
Aug 18 2023,  google  vNC,"1,130.29"
1 Jul 2022,SQ*City Utilities ,1602.17
Sep 01 2024, apple (ONLINE),"USD 2,284.09"
18-3-22,#aPplE seRvicEs [AUTO],$ 336.88
14-3-22,POS ApplE SeRvICeS [AUTO],268.36
Jan 12th 21,ACH  COSTCO  WHOLESALE  *PMT,1450.76
Sep 27 2023,SQ*NETFLIX [AUTO],224.22 USD
11/22/2022,GOOaLE *PMT [TRIP] ,1767.02
Feb 17th 24, LYFT SIDE [AUTO],114
15 Oct 21,SQ*shell ONLINE) ,1279.85USD
2/7/2021,#netflix,$514.33
4/10/2020,  Netflix.Com.COM,USD1967
May 11th 20,UBER-AMaZON  maRkETplACE  LTD,"1,785.92"
Oct 30th 21,ACH  OLIVE  GARDEN  INC, 1848
6/6/2020,UBER-GOOGLE PLAY,$ 149.53
Jul 18th 23,SQwal-mart,USD 2476
Jun 2 2024,MCDONAD'S INC,1664 
5 May 20,SQ*Panda  Express  vTD  [],"1,621.07"
28 Jan 2024,POS DOORDASH (ONLINE) .*UBR," 2,132.33USD"
Mar 5th 22,#ChIPOtLE  LTD  .*UBR,"1,343.78USD"
3/26/2021,InstaCArt *PMT,USD 705.52
19 Dec 2021,ACH uBeR *TRIp , USD1352.98
09-09-21,PAYPAL*taRGet  ,603.39 USD
Oct 20 2020,netflix.com  TD,1358.13 USD
2023-1-6,APPLE  SERVDCES  *PMT  ,1987.51 USD
Sep 26 2020,GOOGle (ONLINE), 2497
2 Sep 2023, WalmarE *PMT, 1066.09
25-4-24,aPPOe.COM/BIlL *PMT ,986USD
Nov 16th 21,SQ*NETFLIXzCOM LTD,685.30
7/13/2024,UBER *TRIP ?, 762
2023-12-24, POS aMAzoN [AUTO] ,"1,994.60USD"
Sep 28 2024,ACH uber *PMT ,451.37
05/25/2021,  WALMART  SUPERCENTER  [TRIP],USD694
2020-9-26,UBER-mcd LT ,"2,187.50 USD"
Oct 9th 20,ACH shell gas,"2,225.27"
2022-09-03,  #WALMART,USD 2121.56
07/16/2022,POS Mcdonalds, $2276.01
Sep 14th 24,INSTaCARt.COM  , 32.84
3-1-21,PAYPAL*doordah*order [AU+TO],USD2105
Jun 15th 21,  PAYPAL*BEST  UY  ,"USD1,767.10"
Mar 17 2022,? AYPAL*Airbnb INC,$ 676.51
16-5-23, UBER-Amazn, 581.83 USD
8/10/2023,#netflix  LTD,206 USD
06-04-20,UBER-+car wash pro LTD,1356.54
Jul 12 2022,oLive GaRdeN *PMT,$95.20
Jul 4 2022,PAYPAL*GoOGle *ServIceS INC,USD 813.77
20-8-21, #AMazoN mArketplACE LTD (EATS) ,149.28 USD
Oct 23rd 21,#airbnb pay LTD,2447.15
Aug 3 2020,#iNStaoaRT.COM, 1849.13
2021-08-08,POS Walart LTD,USD 2466
23-09-24,() UBER-lyft [AUTO],USD 1596.73 
Jul 1st 20,PAYPAL*google  *serjices  (EATS),1935USD
Aug 19th 23,UBER-doorash ,USD 1899.69
Apr 26th 24,Lowe'S  LTD,1818.40USD
Nov 28 2021,ACHgairBNB,2317.10
8/17/2022,SQ*instacart INC,USD 2358.85
Sep 6 2023,POS WAL-MART.COM,$ 1718.12
Sep 23 2022,()  #carMwash  pro  INC  ," 1,868.36USD"
Aug 20 2020,  UBER-amzn  [AUTO]  ,2196.20 USD
2021-01-01,apple LTD," 1,007.31 USD "
1/12/2021,POz  Amazon  LTD  .*,$2477
2/10/2024,inst[TRIP]acart*PMT,-944.29USD
28-07-24,PAYPAL*SheLL  oil  LTD,1720.72 USD
Mar 2nd 23,SQ*chipotle *PMT,$234
Feb 22nd 21,.* #STARUCKS INC,1018USD 
28 Feb 2020,Q*DOORDASH ,"$2,393.26"
4-4-24,SQ*netxlix.com *PMT,USD973.81
12/4/2021,ACH  DOORDASH*ORuER  (ONLINE),2412.70
Jul 10th 20,AMZN AUTO] ,$ 1562.56
Aug 19 2023,amzn  ,USD1577.11
11/20/2021,ACH NETFLIX (ONLINE),2073.87USD
2022-07-28,ACH ShEll ,355.34USD
6 Oct 2021,  SQ*SPOTIFY  PMNT.COM,2235.81
2024-10-29,  POS  DOORDSH,-111.82
7 Sep 2024,ACH  netflix  [AUTO],2114
5 Nov 2020,UBER-Shell (ONLINE) ,536.20 USD
20 Jul 2024,GOOgle(ONLINE),"USD 1,415.62"
Apr 27th 23,BER-c.*UBRity utilities,1621.14
Jun 11th 24,L.*UBRYFT  [AUTO]," 1,952.47 USD"
7 Jun 2021,UBER-Target.COM,1087.70 
Nov 25th 21,POS  Wal-Mart  INC,58.75
3/13/2021,? ACH Walmart INC,"$ 1,691.36"
Jan 6 2021,amazon,$2206.95
Nov 18 2020,UBER-amN  LTD  ,USD 386.42
02-11-20,UBER-uber (ONLINE,"USD 2,073.45"
01/05/2023,spotify.COM,USD351.69
Aug 09 2022, SQ*Target *PMT,848.56USD
11-09-23,starbucks coffee [AUTO],"-2,336.38 USD"
6/11/2022,  BEST  BUY  ,349 USD
1/13/2024,PAYPAL*Lyft  Ride  LTD,1497 USD
6-8-21,UBER-doordash  (OkLINE)," $ 1,280.00"
12/22/2024,SQ*Chipotle  LTD,"$2,488.33"
Sep 11th 22,ACH uber *trip *PMT,1086.99USD
Apr 21 2024,UBER-Instacart [AUTO],-2091 USD
28-02-21, + sWell gas [AUTO] ,"-1,116.08"
11/13/2020, SQ*amazon marketplace LTD,USD1052.26
28 Sep 2020, ACH AMAZON MARKETPLACE,"1,422.84 "
Mar 24th 23,.* PAYPAL*Netflix, 2498.40
08-02-24,SQ*mcdonalYs  [AUTO],"1,014.76USD"
2021-08-06,UBER-sTArbucrS INC,174.07
23 Jul 2020,UBER-NETFLIX.COM,$ -1442.68
12/10/2023,OLIVe GARDen, -1692.34USD
05-05-20,PAYPAL*google  play  INC,"2,428.54"
Sep 9 2020,PAYPAL*NETFLIX [AUTO],570.83
8 Nov 23,SQ*Hoe Depot *PMT,USD1712.87
Mar 30 2020,() PAYPAL*Target INC,"$ 2,181.33"
14-11-24,PAYPALAMAZON.COM  [], USD 284.55
25-7-20,ACH best buy ,$1096
Feb 2nd 22,.*UBR AIRBNB INC,USD 2143.75
Oct 24 2022,NETFLIX.COM,"1,414.59"
4 Jun 23,.*  POS  StarbOcks  INC,USD2039.68
26 Mar 2023,Panda Express, USD -607.68
15-06-22,POS Amazon [AUTO],"$ 1,042.08 "
Jan 16 2021,#[]GOOGLE *SERVICES,USD765.28
20 Mar 20,PAYPAL*BEST BUY (ONLINE),USD917.78
10/12/2021,[]  PAYPAL*Lyft  Ride  INC,"1,545.41 USD"
20 Jun 2020,PAYPAL*Shell  Oil  INC  ?,$168 
02-01-22,UBER-Uber *Trip.COM +,"1,011.95 USD"
6/13/2020, () SQ*Costco Wholesale [UTO],"USD1,510.11"
Oct 25 2021,Netflix IN,"1,803.40 USD "
7/17/2022,.*  sushi  hotse,USD891.07
Jun 4th 20, [TRIP] PAYPAL*Uber,392USD
2024-07-28,PAYPAL*apple services [AUTO],"1,164.13USD"
Jul 18th 24,UBER-airbnb.COM,1205.33 USD
11/28/2020,[TRIP]dOORdASh*OodEr *PMT ,"1,466.01 USD"
17 Mar 2021,Uber  *Trip,"USD 1,989.16"
01-06-23,PAYPAL*SusHi  HoUSE  LTD  ,579.89USD
12-05-23, PAYPAL*COsTcO wHolesalE,"$ 1,805.30"
Dec 22nd 24, UBER-target *PMT,$ 280.60
Dec 21 2024,target  store  INC  ,"2,335.01USD"
2021-7-10, UBER-instacart (ONLINE),"1,458.01"
Jun 26th 20,PAYPAL*Susi House,1896
13 May 2020,mcdonalds, $ 877.71
12-03-21,PAYPAL*apple (ONLINE),$ 765.34 
Apr 13th 23,ACH Car Wash Pro INC,USD708.46
14 Aug 2021,ANH TARGET.COM,961.00USD
05/06/2022,  google  *services  INC  ,USD88 
19-02-24,apple  services.COM,$1383 
19 Apr 24,SQ*Best  Buy  [AUTO],740.04USD
Jun 17th 24, UBE-NETFLIX.COM,USD2240.20
Apr 26th 22,SQ*WALMART SUPERCENTER [AUTO],491.81
11/29/2024,DooRDash*orDeR [AUTO],"$ 1,125.43"
24 Jan 20,MCDONALD'S AUTO],745.95
Aug 30th 20,UBE-Lyft (ONLINE),373 USD
11-5-23,ACH starbucks LTD,$ 2413
Jun 25 2020,uber eats LTD,2024.51USD 
05/14/2022,(EATS)  ACH  Spomify  Pmnt  [AUTO]  , USD315.48
Sep 19th 20,PAYPAL*SHELL OIL INC,$55.32
16-9-21,POS Doordash*Order.COM,88.46USD
Jan 31st 22,SQ*ubER  tEChNologIes  INC  .*,78.60
6/17/2023,#Uber (ONLINE),"$ 1,604.61"
2024-03-18,PAYPAL*netflix.com  (ONLINE)  +,2449.54 USD
Sep 25th 20,POS COsTcO [AUTO],"1,584.75"
04-03-23,#Lyft,300.24 USD
2024-7-12,ACH AMZN [AUTO],"2,265.33 USD"
4/19/2023, COSTCO WHOLESAL LTD,468USD
2023-10-21,PAYPAL*Shell INC ,1174USD
5-12-20,sPOtIFy []PMNt," 2,311.09 USD"
31 Mar 23,TARGET *PMT ,"-2,124.00USD"
01-05-20,UBER-INSTACARm,661.38
10-04-24,UBER-Mcd  INi  ,USD387.02
Jun 26 2023,UBER-Spotify.COM,$1437
1/15/2022, POS CAR WASH PRO,USD50.36 
04/25/2022, shElL gaS LTD,"1,005.36"
31 Jan 2022,  PAaPAL*home  depot  [AUTO],"2,324.23 USD"
Nov 01 2023,Airbnb  [AUTO],518.54USD
25 Jun 22,[]  PAYPAL*Mcdonald'S  *PMT  ,502.13
21 Sep 2023, POS DOORDASH,"$2,357.59"
Aug 18 2023,Starbuks [AUTO],913.00
18 Oct 21,  S*Costco  Wholesale  LTD,87 USD
May 11th 20,.*UBR POS neTFLIX.COm,"1,822.85"
2023-10-15, POS sPOTIFY,562USD
Oct 29th 20,SQ*AMZN.COM(EATS),626.65 USD
2021-07-31,WALMART  SUPERENTER,193.23USD
10-05-23,#Lyft Ride INC,305.54USD
09/24/2023,suShI HOuSe,USD1687.65
2-8-22,GOOGLE *SERVICES [AUTO],"$1,339.30"
12-9-20,Starbucks  Coffee  [AUTO],249
30-07-22,(EATS)  airbnb  INC  ,USD 878.15
May 9th 23,UBER-Netflix  [AUTOb,"1,425.19 "
07/08/2020,UBER-shell  oil  INC  ,"USD 1,949.62"
Oct 27th 24,#spotify p[TRIP]mnt LTD,"2,129.24"
05/09/2024,#SHELL  [AUTO],USD 1113.02
23-7-23, SQ*TARGET *PMT,"1,910.03 "
13 Dec 21,POS macy's, $ 136.69
21-04-24,#aMzn  *MT,2049.56 USD
2024-10-10,SQ*NETFLIX INC,1261.44 USD 
Mar 1st 24,#McD  *PMT,404.06
12 Feb 22,.* ACH instacart [AUTO],"USD2,123.41"
2023-11-03, #oLI.*ve garDEn,707.84USD
2021-03-03,PAYPAL*HOmE Depot *PMT,"$1,861.63"
Mar 3rd 20,UBER-costco,301.40USD
Dec 10 2024,? UBER-Macy'S LTD,"USD1,767.48"
Apr 27 2020,#sPotifY  PmN[TRIP]T  *PMT  ,USD2143.95
27 Sep 23,#Shell Gas.COM,1148.75USD
12 Feb 24, [] SQ*mcD,$ 1837.06 
Aug 14 2021,PAYPAL*gooGLe *seRVICes [AUTO],"$ 1,041.24"
12/25/2023,  UBER-SPOTIFY  tMNT,USD2108
4 Jun 2022,PAYPAL*spotiy.COM,"USD-1,314.14"
12/14/2022,.*UBR  ACH  SHELL.COM,$1667.04
19 Oct 21,UbER LTD,2399.10 USD
22 Oct 24,Chipole.COM,$35
23-9-23,SQ*Wal-Mart  [AUTO],"$ 2,175.85"
Mar 20th 24,POS doordash (ONLINE) .*,2433.38
2024-3-5,#lyft,904.44 
Nov 23 2022,  []  lyft,"USD1,002.60"
10-07-20,PAYPAL*STARBUCKS COFFEy ,USD955.79
2023-11-23,UBJR-lowe's [AUTO] ,1762.71USD
Oct 26th 22,gym  membership  *PMT  ,$2259.04
Jun 8 2020,TMrget,231.61
7 Oct 20, SQ*staRBucKS *PMT, USD 1031.36
26-08-23,intAcart[TRIP] LTD ,2012.32
22 Oct 21,UBER-AMAZON MARKETVLACE LTD .*,"$ 2,274.29"
10/01/2020, #apple services LTD,1159
29 Dec 2023,bAYPAL*costco *PMT,USD 55.96
Jan 1st 20, #hOMe DepoT (ONLINE) ,USD782.32
06/15/2023, POS Airbnb (ONLINE),$1311.12
Nov 25th 23,SQ*AmZN,"$2,196.42"
2024-11-30,ACH  sHEll  OIl  LTD,"2,153.49 USD"
4/25/2020,SQ*GOoglE  PLAa  LTD  ,USD1924.91
Jun 25th 20,ACH  Sushi  House  LTD,"-2,394.77"
Apr 29th 23, panda express .*,"$1,922.26 "
2024-07-09,suSHi  hOUSE  INC,USD864.02 
3/17/2023,ACH ()INSTACART (ONLINE),USD2328.29
3 Oct 2020,CHIPOTLE LTD,2457.62
20-06-20, #MCDONALDS (ONLINE),$ 417
Dec 10 2023,PAYPAL*airbnb pay *PMT,$ 766.96
02/18/2024,uber *trip rONLINE) ,"USD 1,273.06"
2021-11-14, PAYPA*Apple.Com/Bill INC,USD2003
Jun 16th 21,PANDA  EXPRESS  (ONLINE)  .*  ,690USD
7/26/2021,#APPLE,$2473.42
Jul 18 2021,PjS  Doordash  (ONLINE),"-1,991.87USD"
Jul 24th 23,POS  TargeV  *PMT,$1715.32
Nov 18 2020,#DOORDASH*ORDER  LTD,"USD 1,993.99"
25-11-21, SQ*INSTAArt INC,USD130
Oct 12 2022,UBEw-Lowe'S (ONLINE)," 2,111.56"
May 14th 20,  Home  Depot  *PMT  [],799.69
Nov 6th 24, chipotle INC ,$ 1190
22-3-23, SQ.*UBR*UBEr *PMT , $608.77
07/13/2022, SQ*Google INC,"1,041.99 USD"
2020-05-23,UBER-CITY UTILITIES LTD,$ 500.96 
Aug 7th 22,PAYPAL*netflix.COM [TRIP],USD369
5/19/2023,PAYPAL*Uber Eats,$ 970
20 Feb 2020,POS  CHIPOTLE,1699.46
11/14/2021,POS Car Wash Pro LTD, USD2126.66
Feb 16 2020,P()OS lowe's.COM,310 USD
Aug 31st 23,.*UBR SQ*INSTACART,757.50
Nov 15th 23,+ UBER-AIRBNB LTD,"USD1,026.10"
28-08-21, PMYPAL*SPOTIFY,1901.60USD 
07/29/2024,InSTacaRT ,622 
2020-01-18,shell [HUTO],"$ 1,494.72"
15-11-22,Spotify.COM,$ 2384.14
7/5/2023,  netflix.com  INC,USD660.29
26 Apr 20,PAYPAL*Uber Eats *PMT," USD 1,718.14 "
Feb 22 2023,UBER-sUShi hOUSE *PMT , 119.40 USD
08/08/2022,lYfT,2298
5 Mar 21,AIRBNB ,$975.70
Oct 8 2023,NAYPAL*Uber *Trip,USD859.53
30-6-22,PAYPAL*nETFlix.coM,633.89USD
Jul 11th 22,()  doordash,1700.99
6/7/2021,POS SPOTIFY,$185.44
2024-6-30,xOS Target *PMT,USD1901
2022-12-30,stArBUCkS  *PMT,2343
Apr 15 2020,POS trget,$ 793.22
27-08-20,  SQ*staRbUCKs  cofFeE  *PMT,1246
2021-01-07,MCDONALkS.COM,USD 777
Mar 28 2021,shelA oil.COM,$1134.64
11/21/2021,GOOGLE  [AUTO]  ,1840 USD
21 Aug 2022,POS NETFLIX (ONLINE),477
31 Oct 2024,#SPOTIFY  (ONLINE)  (),71USD
3/8/2024,  #NETFLIX  INC,$1498
11/17/2023,taget,USD120 
Dec 08 2020,UBER-SPOTIFY.COM,$ 513.11
03/22/2022,SQ*mcdonald's,$2496.87
May 4th 22,#taRgEt.COM,1479.13 USD 
Feb 10th 22, SPOTIY INC,"$2,082.89"
May 18th 20, ACH sptify *PMT,$1052
21 Apr 2020, OS Shell Gas,485
Jul 7th 24,airbnb,$ 997
06/06/2023,starbucks cffee.COM [],USD 1240.94
27-08-23,AppLE (ONLINE) ,1803
Jan 3rd 23,ACH  costCO  (ON.*LNE),"2,355.55"
1/21/2021, () Wal-MART (ONLINE), 1879.27 
28 Sep 2022,.* Doordash*Ordir [AUTO],"$ 1,337.60"
6 Jul 2022,  gyM  MembErsHIP  [AUTO]  ,$806.99
Oct 2nd 21,+  #SPOTIFY  PMNT.COM,USD261.46
10 Jan 2020,#Uber *Trip *PMT,2293.62 USD
8 Mar 2023,Costco WH.*olesaL.COM ,"1,948.46USD"
2024-11-7,BBER-APplE.CoM/bILL,$2268.65
5/20/2023,  APpLE  SerVIces.COM  ,941.09
Jun 13 2021,ApH  Mcdonald'S,1480.91
Oct 30 2023, A?CH City Utilities [AUTO],1546
7-12-22,SQ*COSTCO WHOLESALE (ONLINE) [TRIP],"USD2,076.97"
2023-9-7, UBER-starbucks.COM,"USD1,952.03"
Aug 1st 21,neTFlIX.cOM, USD226.91 
20-4-20,ACH Airbnb ()LTD ,$ 1038.33
Sep 18 2021,UBrR-UbEr tEcHNoLOGiEs *PMT ,1122 
May 28 2021,UBER-GYM  MEMBERSHIP.COM  ()  ,$1649.06
7-6-20,(EATS) ACHinstacart LTD,462.56USD
21-10-23,POS target *PMT (EATS),"USD2,032.63"
8-3-22,  SQ*aPplE.CoM/BilL  (ONLINE),USD1256.29
2020-08-11,  ACH  Spotify  Pmnt  [AUTO],"1,919.67 USD"
09/26/2020, ACH APPLE SERVICES LTD ,"1,793.85"
09-02-22,UBER EATS ,"USD1,044.99"
Dec 21st 24,UBER (ONLINE) ,"USD 1,486.71"
18-1-23,  MCDONALDS  [AUTO]  .*UBR,USD -2418.64 
Dec 18 2021,UBER-starbucks.COM,273.66USD
Oct 27 2024,.*  CITY  UTILITIES,$ 1265.61 
2024-08-27,starbucks.COM,USD279.46
2020-7-2,google *services (ONLINE),$ 446
05/27/2020,UBER-lyft [AUT[]O],74.91 USD
Jun 20th 22,Uber,"$1,825.50"
02/15/2021, nstacart,1523.39
Mar 12th 21,+ Mcdonalds ,589.17
10/27/2023,homerdepot INC,"2,183.56USD"
15 Jul 2023,SQ*STARBUCKS COFFEE LTD .*UBR,"USD 1,545.40"
2023-07-03,#AIrBnB [AUTO] ,USD 2460.52
2022-8-25,[]  Target  Sore.COM  ,-377USD
Jan 5th 23,Goole Play [AUTO], $592
Oct 24 2023, amazon mauketplace (ONLINE()),"USD1,510.75"
Jul 19th 21,GOOGLE LTD,$ 147
01/29/2023,ACH  inStaCart  INC  ,$ 1309.31
05/20/2022,PAYPAL*NETyLIx.COM.COM ,$2064.15
3/7/2021,#SPOTIFY  ,"2,200.21USD"
2022-12-15, AmaZON INq,444.38 USD
1/29/2024,POS  Doordash,1145
Dec 31 2020,Amazn *PMT,831.39
10-11-24,Costco  Wholesale  [AUTO]  ,USD57.45
16 Jun 2022,POS Wal-Mart INC,"2,340.60 USD"
Apr 05 2021,  googleF*serVices  *PMT  ,USD 5.83
Nov 16 2021, UBER-SPOTIFY *PMT,USD1240 
11-4-20,#ApLe ,USD -1229 
8/15/2020,MCONALD'S INC,"2,374.73"
13 Feb 2020,uber (ONLIN()E),889.94
2020-5-21,+ mcdonAlD's (ONLINE),USD 580.16
Jun 20th 23,ACH  NETFLIX.COM  (ONLINE)  (),$176.06
2024-2-2,POS  iNSTAcaRt  *PMT,1970.87
2023-6-26,#()Costco,2443
12/13/2024,UBER-LyfT [AUTO] ?,956.33
21 Feb 23,ACH mcd *PMT (), 238.34
17 Jun 22,  UBER-PANDA  EXPRESS  ONLINE)  ,560.81
2024-02-07,PAYPAL*costc wholesale *PMT ?,USD 134.95
Oct 23rd 24,sPOtify PMnt [AUTO],909.07
15-09-23,PAYPAL*instacart  LTD,"1,023.39USD"
31-12-20,ACH  NETFLIX.COM  +  ,"1,992.54 USD "
02/11/2022, UBER-SHEll GaS LTD .*,"USD 1,325.20"
3 Jul 2023,[] POS mcdonalds.COM, USD667
06-01-22,OliveGarden INC,280USD
27-05-20, ACH WVlmart Supercenter LTD,USD352.21
Jan 17th 22,UBER-GOOGLE.COM,"1,363.53 USD"
20-05-20,#shell oil (ONLINE) , $ 1935.47
15 Feb 2022,ACH STARBUCKS COFFEE [AUTO] ,"1,392.60USD"
2021-7-11,ACH costco wholesaee LTD,"1,735.49"
2022-1-24, Target (EATS),"USD 1,740.57"
28 Apr 20,POS  costco  wholesale,USD36.68
5/17/2021,  SHELL  GAS,USD-1297.16
6 Oct 22,Doordash (ONLINE),"USD -1,540.52"
12/15/2023,wapmaRT,2045.04
Nov 15th 23,.* #APplE.COM ,USD 968
31 Oct 2024,INSTACART .* ,"2,176.17"
Jun 09 2021,#Costcl.COM,"$2,344.54"
Jul 24th 22,() spotify *PMT,1172
Oct 12th 20,SHELL GAS LTD ,397.91
2023-03-24,PAYPAL*APPLE  SERVICES  ,1499.12
Oct 13th 23,UBER-Google (),"USD 1,414.81"
9/16/2024,()  #Chipotle  INo,383.25
30-10-21, ACH uber.COM,1072 USD
2023-5-25,POS AmazoK (EATS),$372.22
21-10-24,ACH City Utilities LTD,"2,028.84"
25-10-22,#WALMART.COM ,"2,426.32"
2024-11-10,gOOGle  (ONLINE)  [TRIP], USD815.44
Feb 12th 21,ACH SHELL *PMT [TRIP] ,2351.89
Oct 13 2020,#Home Depot (ONLINE) ,$ -1001
7/1/2020,#shELl gAs *PMT,403.88
Aug 18 2020,GOOGLE.COM,"2,295.03"
Oct 3rd 20,Starbucks EPMT[] ,966.78
04/06/2020,PO google INC (EATS),2195.14 USD
Sep 09 2022, UBER-CoStCo INC,487.87
11-12-21,PAYPAL*apple services INC,1721.87USD
22 Jan 21,target.COM,USD793
Dec 2nd 23,doordash*or[TRIP]der INC,"$ 2,110.22"
2024-02-24,#TARgEt ,972.68
2024-6-12, Sj*WALMART.COM ,USD2355
Mar 20th 22,INSTACART LTD,$ 225.20 
2021-7-2, EHELL OIL (ONLINE),$ 1814.56
2024-9-15,PAYPAL*aMzN  LTD  ,1157.07
2024-04-24, POS UBer *triP LTD [TRIP] ,$ 2125
29 May 20,PAYPAL*DOORDASH*ORDER [AUT],"1,762.31USD"
3 Apr 2023,POS dooRDAsh*oRDeR,"USD 1,411.30"
10/31/2024,? mcdonald's [AUTO] ,USD 702.61
Nov 23 2022,uBER  TeCHnOloGIES  [AUO],1385.68
May 6th 21,APPLE SERVICES *PMT,"1,362.11"
2024-09-15,SQ*gym memberhip LTD," USD2,075.79"
15 Jul 2023,SPOTIY PMNT *PMT,2330.82 USD 
Nov 06 2022,AMaZoN INC ,USD 389
May 29 2021,PAYPAL*NETFLIX.COM  LTD, $974.74 
11 Apr 2020, PAYPAL*TARGET,1584.53 USD
